ID,Site,Date,FOV,Diatoms,Dinoflagellates,Cyanobacteria,Chrysophyta,Chlorophyta,N fixers,Small circles unpigmented with two dots/navels,"Green tinged small dots, seemingly empty cell walls",TotalCells,Rep,Settle time and date,,Settler,Count time and date,,Counter,Frames (# FOV),Notes: Tubes used? How did it go? ,FrameArea_Diam_mm,Magnification,SettlingChamberArea_mm,Volume_mL,,,,,,Microscope
1,A,9/8,,134,3,61,0,2,,35,14,200,,9/22,11:00,team,10/6,14:00,cal,7,"Used part of Tube 1, Sample dumped",0.89,,,25,,,,,,Carroll
2,B,9/8,,161,2,82,0,5,,,,250,,9/22,15:00,team,9/24,11:00,team,5,"Used part of Tube 1, Sample dumped",0.89,,,<25,,,,,,Carroll
,,,1,33,,12,,1,,,,46,,,,,,,,,,,,,,,,,,,
,,,2,33,,11,,1,,,,45,,,,,,,,,,,,,,,,,,,
,,,3,40,1,11,,3,,,,55,,,,,,,,,,,,,,,,,,,
,,,4,33,1,15,,,,,,49,,,,,,,,,,,,,,,,,,,
,,,5,22,,33,,,,,,55,,,,,,,,,,,,,,,,,,,
3,C,9/8,,174,4,35,1,6,,18,50,220,,9/29,14:00,team,10/6,14:15,kirsten,,,0.89,,,25,,,,,,Carroll
4,D,9/8,4,15,1,151,1,72,,32,20,240,,9/29,15:00,team,10/6,15:00,gabby,4,"Used part of Tube 1, Sample dumped",,,,,,,,,,
5,E,9/8,,65,4,148,1,10,,32,17,228,,10/6,15:00,Cal,10/7,15:00,cal,4,"Used part of Tube 1, Sample dumped. Copepod!",,,,,,,,,,
6,F,9/8,,41,7,129,6,17,,40,15,200,,10/6,15:00,Kirsten,10/8,12:00,kirsten,8,"Used part of Tube 1, Sample dumped. ",,,,,,,,,,
7,G,9/8,,102,2,96,54,66,,14,65,320,,10/6,16:40,Gabby,10/8,12:00,gabby,4,"Used part of Tube 1, Sample dumped. ",,,,,,,,,,
8,H,9/8,,57,4,132,14,4,,40,2,211,,10/8,11:00,Cal,10/8,15:00,cal,6,"Used part of Tube 1, Sample dumped. ",,,,,,,,,,
9,I,9/8,,80,0,112,4,4,,25,15,200,,10/8,12:00,Kirsten,10/13,15:00,kirsten,7,"Used part of Tube 1, Sample dumped. ",,,,,,,,,,
10,J,9/8,,15,4,131,19,74,,29,26,243,,10/16,17:15,Gabby,10/17,12:18,gabby,5,"Used part of Tube 1, Sample dumped. Had a bunch of moving things: a large long one with a long ciliate for a mouth, some tiny zippy ones, and a small triangular zippy one with a large green circle on its head",,,,,,,,,,
11,A,9/15,,86,1,90,8,15,,notebook,notebook,200,,10/8,15:20,Cal,10/9,10:00,cal,5,"Used part of Tube 1, Sample dumped. This one had all these moving things in it: little fat worm things that slunk through the FOV and tiny zippy things that reminded me of aphids. How are they alive? have they been eating certain phytoplankton? Both were much shorter than the average pennate diatom we see, I wonder what they do eat...",,,,,,,,,,
12,B,9/15,,23,2,125,44,43,,29,12,237,,10/13,15:45,Kirsten,10/16,16:25,gabby,3,"Used part of Tube 1, Sample dumped. ",,,,,,,,,,
13,C,9/15,,109,1,75,9,7,,,,201,,10/17,13:18,Gabby,10/17,18:45,kirsten,7,"Used part of Tube 1, sample dumped.",,,,,,,,,,
14,D,9/15,,50,4,151,1,11,,notebook,notebook,217,,10/9,10:00,Cal,10/9,18:00,cal,5,"Used part of Tube 1, Sample dumped. Only used a little bit of liquid, like 8mL and still had layers and layers of stuff to count. Interesting thing I noticed in this one is that chains of circles (individual cells looking a lot like microcystis) sometimes contained the empty two-navel cells that we have been mystified by. How could they be part of these cyano chains? Mysteries",,,,,,,,,,
15,E,9/15,,61,2,133,2,2,,,,200,,10/17,14:00,cal,10/17,19:00,kirsten,7,"Used part of Tube 1, sample dumped",,,,,,,,,,
16,F,9/15,,29,1,121,16,40,,29,11,207,,10/17,19:15,kirsten,10/18,19:00,gabby,3,"Used part of Tube 1, sample dumped",,,,,,,,,,
