Date,S.m,Temp,Secchi,S.m_se,Temp_se,Secchi_se
8-Sep,105.8,21.1,1.7,0.061553951,0.241522946,0.108954629
8-Sep,105.8,21,1.7,0.061553951,0.241522946,0.108954629
8-Sep,106,21.4,1.8,0.061553951,0.241522946,0.108954629
8-Sep,105.7,21.8,1.51,0.061553951,0.241522946,0.108954629
8-Sep,106.1,21.6,1.75,0.061553951,0.241522946,0.108954629
8-Sep,106.2,21.4,1.75,0.061553951,0.241522946,0.108954629
8-Sep,105.8,21.4,1.75,0.061553951,0.241522946,0.108954629
8-Sep,106,21.1,1.8,0.061553951,0.241522946,0.108954629
8-Sep,106.2,21.4,1.9,0.061553951,0.241522946,0.108954629
8-Sep,105.7,21.3,1.6,0.061553951,0.241522946,0.108954629
15-Sep,104.7,19.6,1.65,0.13453624,0.254950976,0.147380837
15-Sep,105.5,19.3,1.77,0.13453624,0.254950976,0.147380837
15-Sep,105.9,19.3,1.87,0.13453624,0.254950976,0.147380837
15-Sep,105.9,19.1,1.35,0.13453624,0.254950976,0.147380837
15-Sep,106.2,19.2,1.8,0.13453624,0.254950976,0.147380837
15-Sep,106.1,19.4,1.85,0.13453624,0.254950976,0.147380837
15-Sep,105.8,19.8,1.7,0.13453624,0.254950976,0.147380837
15-Sep,105.9,19.8,1.7,0.13453624,0.254950976,0.147380837
15-Sep,105.9,19.7,1.65,0.13453624,0.254950976,0.147380837
15-Sep,106,19.3,1.75,0.13453624,0.254950976,0.147380837
22-Sep,105.1,17.3,1.75,0.087939373,0.218326972,0.112130876
22-Sep,105.9,16.7,1.68,0.087939373,0.218326972,0.112130876
22-Sep,105.6,16.8,1.7,0.087939373,0.218326972,0.112130876
22-Sep,105.4,16.8,1.4,0.087939373,0.218326972,0.112130876
22-Sep,105.3,17.1,1.5,0.087939373,0.218326972,0.112130876
22-Sep,106,16.8,1.65,0.087939373,0.218326972,0.112130876
22-Sep,105.5,17.2,1.7,0.087939373,0.218326972,0.112130876
22-Sep,105.7,17.2,1.65,0.087939373,0.218326972,0.112130876
22-Sep,105.5,17.2,1.65,0.087939373,0.218326972,0.112130876
22-Sep,105.8,17,1.5,0.087939373,0.218326972,0.112130876
29-Sep,105.1,19,1.6,0.105882534,0.30568684,0.109163486
29-Sep,105.8,19.1,1.6,0.105882534,0.30568684,0.109163486
29-Sep,106.2,19.6,1.6,0.105882534,0.30568684,0.109163486
29-Sep,105.4,19.6,1.35,0.105882534,0.30568684,0.109163486
29-Sep,105.9,18.9,1.7,0.105882534,0.30568684,0.109163486
29-Sep,106.2,18.7,1.65,0.105882534,0.30568684,0.109163486
29-Sep,105.8,18.8,1.6,0.105882534,0.30568684,0.109163486
29-Sep,105.7,18.9,1.55,0.105882534,0.30568684,0.109163486
29-Sep,105.9,19,1.5,0.105882534,0.30568684,0.109163486
29-Sep,105.9,19.1,1.4,0.105882534,0.30568684,0.109163486
6-Oct,104.8,17.2,1.6,0.051639778,0.10749677,0.102198065
6-Oct,105.2,17.2,1.5,0.051639778,0.10749677,0.102198065
6-Oct,105.3,16.9,1.6,0.051639778,0.10749677,0.102198065
6-Oct,105.1,17.3,1.35,0.051639778,0.10749677,0.102198065
6-Oct,105.3,17.1,1.7,0.051639778,0.10749677,0.102198065
6-Oct,105.2,17.1,1.5,0.051639778,0.10749677,0.102198065
6-Oct,105.2,17.1,1.55,0.051639778,0.10749677,0.102198065
6-Oct,105.2,17.2,1.65,0.051639778,0.10749677,0.102198065
6-Oct,105.4,17.1,1.65,0.051639778,0.10749677,0.102198065
6-Oct,105.3,17.2,1.5,0.051639778,0.10749677,0.102198065
20-Oct,102.9,14,1,0.044221664,0.147572957,0.271876197
20-Oct,103.2,14,1.25,0.044221664,0.147572957,0.271876197
20-Oct,103.2,13.8,1,0.044221664,0.147572957,0.271876197
20-Oct,103,13.7,1.3,0.044221664,0.147572957,0.271876197
20-Oct,103.1,13.7,1.5,0.044221664,0.147572957,0.271876197
20-Oct,103.3,13.6,1.5,0.044221664,0.147572957,0.271876197
20-Oct,103.2,13.6,1.5,0.044221664,0.147572957,0.271876197
20-Oct,103.3,13.9,1.75,0.044221664,0.147572957,0.271876197
20-Oct,103.3,13.8,1.6,0.044221664,0.147572957,0.271876197
20-Oct,103.3,13.7,1.75,0.044221664,0.147572957,0.271876197
